"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1960","1960",5998,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1961","1961",5626,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1962","1962",5795,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1963","1963",6224,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1964","1964",6677,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1965","1965",6853,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1966","1966",6710,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1967","1967",6782,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1968","1968",6846,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1969","1969",7165,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1970","1970",7320,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1971","1971",6967,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1972","1972",6747,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1973","1973",7050,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1974","1974",6656,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1975","1975",6442,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1976","1976",6257,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1977","1977",6455,,
